song_key,title,artist,Brazil,France,Germany,India,Indonesia,Japan,Korea,Malaysia,Overall,Singapore,South Africa,Taiwan,Thailand,United Kingdom,United States,appear_country_count,tie_up_type
あの夢をなぞって / YOASOBI,あの夢をなぞって,YOASOBI,,,,84.0,3.0,,62.0,19.0,63.0,20.0,,16.0,41.0,,,8,None
SOMETHING AIN'T RIGHT / XG,SOMETHING AIN'T RIGHT,XG,48.0,,,,,,,86.0,79.0,69.0,55.0,,59.0,99.0,72.0,8,None
ベテルギウス / 優里,ベテルギウス,優里,,,,40.0,90.0,50.0,1.0,78.0,20.0,41.0,,17.0,,,,8,TVドラマ
プラスティック・ラブ / 竹内まりや,プラスティック・ラブ,竹内まりや,80.0,,,,79.0,,96.0,,93.0,,84.0,,54.0,82.0,75.0,8,None
Black Rover / ビッケブランカ,Black Rover,ビッケブランカ,54.0,33.0,54.0,94.0,,,,,89.0,,39.0,,,63.0,81.0,8,Anime
たぶん / YOASOBI,たぶん,YOASOBI,,,,33.0,4.0,,70.0,13.0,41.0,13.0,,15.0,16.0,,,8,None
ビビデバ / 星街すいせい,ビビデバ,星街すいせい,,,,,85.0,91.0,57.0,68.0,91.0,67.0,,48.0,40.0,,,8,None
紅蓮の弓矢 / Linked Horizon,紅蓮の弓矢,Linked Horizon,65.0,36.0,30.0,53.0,,,,,74.0,,44.0,,,38.0,80.0,8,Anime
好きだから。 / 『ユイカ』,好きだから。,『ユイカ』,,,,39.0,8.0,,13.0,15.0,47.0,44.0,,7.0,15.0,,,8,None
打上花火 / DAOKO × 米津玄師,打上花火,DAOKO × 米津玄師,,,,47.0,49.0,,28.0,22.0,51.0,42.0,,4.0,26.0,,,8,Movie
踊 / Ado,踊,Ado,,56.0,33.0,,,,,,66.0,68.0,93.0,,,67.0,59.0,7,None
Bunny Girl / AKASAKI,Bunny Girl,AKASAKI,,,,99.0,34.0,60.0,,36.0,,84.0,,10.0,47.0,,,7,None
フライディ・チャイナタウン / 泰葉,フライディ・チャイナタウン,泰葉,27.0,41.0,28.0,,,,,,69.0,,31.0,,,33.0,48.0,7,None
UNDEAD / YOASOBI,UNDEAD,YOASOBI,,,,,94.0,65.0,82.0,67.0,,52.0,,26.0,85.0,,,7,Anime
僕の戦争 / 神聖かまってちゃん,僕の戦争,神聖かまってちゃん,82.0,57.0,81.0,77.0,,,,,97.0,,72.0,,,65.0,,7,Anime
ラビットホール / DECO*27,ラビットホール,DECO*27,68.0,,,,,,98.0,,60.0,,100.0,,75.0,31.0,29.0,7,None
WILD SIDE / ALI,WILD SIDE,ALI,55.0,65.0,96.0,,,,,,86.0,,80.0,,,56.0,40.0,7,Anime
4:00 A.M. / 大貫妙子,4:00 A.M.,大貫妙子,37.0,67.0,78.0,,,,,,77.0,,28.0,,,44.0,36.0,7,None
愛して愛して愛して / Ado,愛して愛して愛して,Ado,40.0,69.0,40.0,,,,,,84.0,,71.0,,,68.0,43.0,7,None
なんでもないや / RADWIMPS,なんでもないや,RADWIMPS,,,,32.0,45.0,,90.0,73.0,,96.0,,,68.0,,,6,Movie
BLOODY STREAM / Coda,BLOODY STREAM,Coda,57.0,60.0,77.0,,,,,,98.0,,,,,36.0,54.0,6,Anime
あの夏へ / 久石譲,あの夏へ,久石譲,,48.0,70.0,,,,,,,76.0,89.0,,,61.0,82.0,6,Movie
リフレクションズ / 日向敏文,リフレクションズ,日向敏文,81.0,,62.0,,,,,,96.0,,20.0,,,40.0,47.0,6,None
Sign / FLOW,Sign,FLOW,36.0,63.0,91.0,,39.0,,,100.0,100.0,,,,,,,6,Anime
満ちてゆく / 藤井風,満ちてゆく,藤井風,,,,,,51.0,,51.0,59.0,50.0,,28.0,1.0,,,6,None
悲しみがとまらない / 杏里,悲しみがとまらない,杏里,98.0,,92.0,,84.0,,,,,,57.0,,,90.0,63.0,6,TVドラマ
ハルジオン / YOASOBI,ハルジオン,YOASOBI,,,,,59.0,,,62.0,99.0,37.0,,50.0,62.0,,,6,None
ギミチョコ!! / BABYMETAL,ギミチョコ!!,BABYMETAL,21.0,,39.0,,,,,,75.0,,61.0,,,24.0,39.0,6,None
First Love / 宇多田ヒカル,First Love,宇多田ヒカル,,,,,7.0,,,3.0,54.0,10.0,,8.0,46.0,,,6,TVドラマ
花 / 藤井風,花,藤井風,,,,98.0,,36.0,,79.0,,54.0,,53.0,23.0,,,6,None
PUPPET SHOW / XG,PUPPET SHOW,XG,59.0,,,,,,,,82.0,70.0,68.0,,83.0,,76.0,6,None
Dove / antihoney,Dove,antihoney,84.0,,35.0,,,,,,95.0,,26.0,,,25.0,31.0,6,None
Merry Christmas Mr.Lawrence / 坂本龍一,Merry Christmas Mr.Lawrence,坂本龍一,,85.0,,,,,93.0,90.0,,93.0,,73.0,,51.0,,6,Movie
HOWLING / XG,HOWLING,XG,63.0,,,100.0,,,,80.0,,,63.0,,74.0,,,5,None
二十歳の恋 / Lamp,二十歳の恋,Lamp,56.0,,,,,,,,72.0,,35.0,,,46.0,23.0,5,None
ゆめうつつ / Lamp,ゆめうつつ,Lamp,96.0,,,,,,,,76.0,,33.0,,,37.0,21.0,5,None
Wind / Akeboshi,Wind,Akeboshi,45.0,62.0,55.0,,50.0,,,,,,48.0,,,,,5,Anime
愛(ハート)スクリ～ム! / AiScReam,愛(ハート)スクリ～ム!,AiScReam,,,63.0,51.0,24.0,,,16.0,,,47.0,,,,,5,Anime
Call of Silence / 澤野弘之,Call of Silence,澤野弘之,,68.0,,,,,,53.0,,97.0,,71.0,73.0,,,5,Anime
堕天 / Creepy Nuts,堕天,Creepy Nuts,,77.0,60.0,,,,,,,,82.0,,,85.0,94.0,5,Anime
